"","Population","Sample","Lon","Lat"
"479","VMA","VMA25",141.82,-36.77
"480","VMA","VMA26",141.82,-36.77
"481","VMA","VMA28",141.82,-36.77
"482","VMA","VMA29",141.82,-36.77
"483","VMC","VMC01",144.11,-36.77
"484","VMC","VMC04B",144.11,-36.77
"485","VMC","VMC06",144.11,-36.77
"486","VMC","VMC08",144.11,-36.77
"487","VMC","VMC10B",144.11,-36.77
"488","VMC","VMC12B",144.11,-36.77
"489","VMC","VMC14",144.11,-36.77
"490","VMC","VMC18",144.11,-36.77
"491","VMC","VMC21",144.11,-36.77
"492","VMC","VMC23",144.11,-36.77
"493","VMC","VMC24",144.11,-36.77
"494","VMC","VMC25",144.11,-36.77
"495","VMC","VMC26B",144.11,-36.77
"496","VMC","VMC27",144.11,-36.77
"497","VMC","VMC28B",144.11,-36.77
"498","VMC","VMC29",144.11,-36.77
"499","VMC","VMC30",144.11,-36.77
"500","VMC","VMC31",144.11,-36.77
"501","VMC","VMC32",144.11,-36.77
"502","VMC","VMC33B",144.11,-36.77
"503","VMC","VMC34",144.11,-36.77
"504","VMC","VMC35",144.11,-36.77
"505","VMC","VMC36",144.11,-36.77
"506","VMC","VMC37",144.11,-36.77
"507","VMC","VMC38",144.11,-36.77
"508","VMC","VMC39B",144.11,-36.77
"509","VMC","VMC40",144.11,-36.77
"510","VMJ","VMJ01",143.14,-36.28
"511","VMJ","VMJ03",143.14,-36.28
"512","VMJ","VMJ05",143.14,-36.28
"513","VRH","VRH02",145.95,-36.58
"514","VRH","VRH04",145.95,-36.58
"515","VRH","VRH05",145.95,-36.58
"516","VRH","VRH06",145.95,-36.58
"517","VRH","VRH08",145.95,-36.58
"518","VRH","VRH10",145.95,-36.58
"519","VRH","VRH11",145.95,-36.58
"520","VRH","VRH12",145.95,-36.58
"521","VRH","VRH13",145.95,-36.58
"522","VRH","VRH21",145.95,-36.58
"523","VRH","VRH22",145.95,-36.58
"524","VRH","VRH24",145.95,-36.58
"525","VRH","VRH25",145.95,-36.58
"526","VRH","VRH26",145.95,-36.58
"527","VRH","VRH27",145.95,-36.58
"528","VRH","VRH29",145.95,-36.58
"529","VRH","VRH30",145.95,-36.58
"530","VTT","VTT02",144.22,-36.14
"531","VTT","VTT03",144.22,-36.14
"532","VTT","VTT04",144.22,-36.14
"533","VTT","VTT05",144.22,-36.14
"534","VTT","VTT06",144.22,-36.14
"535","VTT","VTT08",144.22,-36.14
"536","VTT","VTT09",144.22,-36.14
"537","VTT","VTT10",144.22,-36.14
"538","VTT","VTT11",144.22,-36.14
"539","VTT","VTT12",144.22,-36.14
"540","VTT","VTT13",144.22,-36.14
"541","VTT","VTT14",144.22,-36.14
"542","VTT","VTT17",144.22,-36.14
"543","VTT","VTT18",144.22,-36.14
"544","VTT","VTT19",144.22,-36.14
"545","VTT","VTT20",144.22,-36.14
"546","VTT","VTT22",144.22,-36.14
"547","VTT","VTT23",144.22,-36.14
"548","VTT","VTT24",144.22,-36.14
"549","VTT","VTT25",144.22,-36.14
"550","VTT","VTT26",144.22,-36.14
"551","VTT","VTT28",144.22,-36.14
"552","VTT","VTT29",144.22,-36.14
"553","VWG","VWG01",144.36,-37.67
"554","VWG","VWG04B",144.36,-37.67
"555","VWG","VWG06B",144.36,-37.67
"556","VWG","VWG09",144.36,-37.67
"557","VWG","VWG13",144.36,-37.67
"558","VWG","VWG15",144.36,-37.67
"559","VWG","VWG18",144.36,-37.67
"560","VWG","VWG20",144.36,-37.67
"561","VWG","VWG21",144.36,-37.67
"562","VWG","VWG22",144.36,-37.67
"563","VWG","VWG23",144.36,-37.67
"564","VWG","VWG24B",144.36,-37.67
"565","VWG","VWG25",144.36,-37.67
"566","VWG","VWG26",144.36,-37.67
"567","VWG","VWG27",144.36,-37.67
"568","VWG","VWG28B",144.36,-37.67
"569","VWG","VWG29",144.36,-37.67
"570","VWG","VWG30",144.36,-37.67
"571","VWG","VWG31",144.36,-37.67
"572","VWG","VWG32B",144.36,-37.67
"573","VWG","VWG33",144.36,-37.67
"574","VWG","VWG34B",144.36,-37.67
"575","VWG","VWG35",144.36,-37.67
"576","VWG","VWG36B",144.36,-37.67
"577","VWG","VWG37",144.36,-37.67
"578","VWG","VWG38B",144.36,-37.67
"579","VWG","VWG39",144.36,-37.67
"580","VWG","VWG40",144.36,-37.67
